t=0  22:05:43,53     01.05.2019;;;;;;;;
time;Ug;CosPhi;Ie;Qg;Pg;Uf;Fg Hz;Alpha gr
3,010;0,970;0,942;0,407;0,129;0,215;0,461;50,000;93,200
3,020;0,970;0,942;0,400;0,130;0,215;0,441;50,000;91,100
3,030;0,970;0,942;0,395;0,133;0,215;0,423;50,000;90,600
3,040;0,971;0,938;0,390;0,135;0,214;0,409;50,000;89,300
3,050;0,970;0,942;0,387;0,137;0,215;0,398;50,000;88,700
3,060;0,970;0,942;0,384;0,138;0,215;0,392;50,000;86,200
3,070;0,970;0,938;0,386;0,139;0,215;0,388;50,000;85,800
3,080;0,971;0,938;0,389;0,141;0,214;0,389;49,990;82,900
3,090;0,970;0,933;0,395;0,141;0,213;0,393;50,000;83,100
3,100;0,971;0,933;0,402;0,141;0,213;0,399;50,000;82,900
3,110;0,970;0,933;0,405;0,142;0,213;0,407;50,000;84,400
3,120;0,971;0,938;0,407;0,142;0,213;0,411;49,990;83,700
3,130;0,970;0,934;0,408;0,143;0,212;0,416;50,000;84,000
3,140;0,971;0,934;0,411;0,143;0,212;0,422;50,000;82,200
3,150;0,971;0,934;0,416;0,143;0,211;0,431;50,000;82,300
3,160;0,971;0,934;0,422;0,144;0,211;0,439;50,000;82,100
3,170;0,970;0,934;0,427;0,146;0,211;0,449;50,000;82,500
3,180;0,971;0,930;0,432;0,146;0,210;0,458;50,000;81,700
3,190;0,971;0,930;0,437;0,147;0,209;0,468;50,000;81,300
3,200;0,972;0,930;0,443;0,147;0,208;0,479;50,000;80,100
3,210;0,971;0,930;0,452;0,148;0,208;0,493;50,000;80,500
3,220;0,971;0,930;0,460;0,150;0,208;0,505;50,000;81,200
3,230;0,971;0,925;0,466;0,151;0,207;0,515;50,000;83,000
3,240;0,972;0,930;0,469;0,152;0,207;0,524;50,000;82,400
3,250;0,971;0,926;0,471;0,154;0,207;0,533;50,000;83,500
3,260;0,972;0,926;0,474;0,156;0,207;0,538;50,000;82,900
3,270;0,971;0,926;0,476;0,159;0,207;0,544;50,000;84,600
3,280;0,972;0,921;0,476;0,161;0,206;0,545;50,000;85,000
3,290;0,972;0,921;0,475;0,163;0,206;0,545;50,000;86,300
3,300;0,972;0,917;0,472;0,166;0,205;0,544;50,000;86,600
3,310;0,972;0,917;0,469;0,170;0,205;0,540;50,000;86,300
3,320;0,973;0,917;0,467;0,171;0,205;0,538;50,000;86,400
3,330;0,972;0,912;0,466;0,172;0,205;0,534;50,000;86,900
3,340;0,973;0,912;0,465;0,174;0,205;0,532;50,000;85,800
3,350;0,973;0,917;0,463;0,175;0,205;0,528;50,000;87,400
3,360;0,973;0,913;0,461;0,177;0,204;0,523;50,000;88,000
3,370;0,973;0,912;0,457;0,180;0,205;0,515;50,000;88,400
3,380;0,974;0,912;0,453;0,183;0,205;0,508;50,000;87,000
3,390;0,974;0,908;0,449;0,184;0,204;0,503;50,000;87,900
3,400;0,974;0,908;0,446;0,185;0,205;0,495;50,000;86,700
3,410;0,974;0,904;0,445;0,186;0,204;0,492;50,000;86,500
3,420;0,974;0,908;0,445;0,187;0,204;0,489;50,000;85,100
3,430;0,974;0,904;0,446;0,189;0,204;0,488;50,000;85,900
3,440;0,975;0,904;0,448;0,192;0,204;0,487;50,000;85,200
3,450;0,974;0,904;0,449;0,193;0,204;0,487;50,000;86,000
3,460;0,975;0,904;0,449;0,194;0,204;0,485;50,000;85,100
3,470;0,975;0,895;0,449;0,195;0,203;0,485;50,000;85,800
3,480;0,975;0,900;0,448;0,195;0,203;0,484;50,010;85,700
3,490;0,975;0,895;0,448;0,197;0,203;0,484;50,000;85,200
3,500;0,975;0,895;0,449;0,199;0,203;0,484;50,000;84,500
3,510;0,975;0,895;0,451;0,200;0,203;0,487;50,000;85,400
3,520;0,976;0,891;0,453;0,202;0,203;0,488;50,000;83,900
3,530;0,975;0,895;0,454;0,203;0,203;0,490;50,000;84,800
3,540;0,976;0,891;0,456;0,203;0,203;0,492;50,000;83,700
3,550;0,976;0,891;0,458;0,204;0,203;0,497;50,000;84,600
3,560;0,976;0,891;0,459;0,205;0,203;0,497;50,000;84,800
3,570;0,976;0,887;0,460;0,206;0,203;0,499;50,000;84,700
3,580;0,976;0,887;0,461;0,208;0,203;0,500;50,000;85,000
3,590;0,976;0,887;0,461;0,209;0,203;0,502;50,000;84,300
3,600;0,976;0,878;0,463;0,211;0,203;0,504;50,000;83,900
3,610;0,976;0,883;0,466;0,213;0,203;0,507;50,000;84,800
3,620;0,977;0,878;0,468;0,214;0,204;0,510;50,000;84,200
3,630;0,976;0,878;0,469;0,216;0,204;0,512;50,000;86,200
3,640;0,977;0,878;0,467;0,217;0,204;0,509;50,000;86,100
3,650;0,977;0,874;0,464;0,219;0,204;0,508;50,000;86,600
3,660;0,977;0,874;0,462;0,221;0,204;0,504;50,000;86,000
3,670;0,977;0,875;0,461;0,222;0,205;0,504;50,000;85,200
3,680;0,977;0,870;0,462;0,223;0,205;0,504;50,000;85,200
3,690;0,977;0,875;0,464;0,225;0,206;0,504;50,000;85,600
3,700;0,977;0,871;0,465;0,227;0,206;0,504;50,000;84,700
3,710;0,977;0,871;0,466;0,229;0,206;0,505;50,000;85,000
3,720;0,978;0,867;0,468;0,230;0,206;0,507;50,000;84,800
3,730;0,977;0,867;0,469;0,231;0,206;0,508;50,000;85,900
3,740;0,978;0,867;0,469;0,233;0,207;0,508;50,000;85,000
3,750;0,978;0,867;0,469;0,234;0,207;0,509;50,000;86,500
3,760;0,978;0,867;0,468;0,235;0,207;0,507;50,000;85,800
3,770;0,978;0,863;0,466;0,237;0,207;0,504;50,000;86,500
3,780;0,978;0,863;0,465;0,239;0,208;0,502;50,000;86,200
