t=0  6:46:44,50     26.01.2018;;;;;;;;
time;Ug;Ig;MaxSetUgV/Hz;Qg;If;Uf;Fg Hz;Alpha gr
2,770;1,101;0,000;1,100;0,000;0,375;0,307;49,990;85,400
2,780;1,099;0,000;1,100;0,000;0,375;0,307;49,990;85,400
2,790;1,101;0,000;1,100;0,000;0,375;0,307;49,990;85,400
2,800;1,100;0,000;1,100;0,000;0,375;0,307;49,990;85,700
2,810;1,101;0,000;1,100;0,000;0,375;0,307;49,990;85,500
2,820;1,099;0,000;1,100;0,000;0,374;0,306;49,990;85,500
2,830;1,100;0,000;1,100;0,000;0,375;0,308;49,990;85,400
2,840;1,100;0,000;1,100;0,000;0,375;0,310;49,990;85,700
2,850;1,101;0,000;1,100;0,000;0,375;0,311;49,990;85,800
2,860;1,099;0,000;1,100;0,000;0,374;0,310;49,990;85,900
2,870;1,100;0,000;1,100;0,000;0,375;0,310;49,990;85,800
2,880;1,099;0,000;1,100;0,000;0,375;0,311;49,990;85,800
2,890;1,100;0,000;1,100;0,000;0,375;0,311;49,990;85,800
2,900;1,100;0,000;1,100;0,000;0,375;0,311;49,990;85,800
2,910;1,100;0,000;1,100;0,000;0,375;0,311;49,990;85,800
2,920;1,100;0,000;1,100;0,000;0,375;0,311;49,990;85,800
2,930;1,101;0,000;1,100;0,000;0,375;0,311;49,990;85,800
2,940;1,099;0,000;1,100;0,000;0,374;0,310;49,990;85,900
2,950;1,100;0,000;1,100;0,000;0,375;0,310;49,990;85,600
2,960;1,100;0,000;1,100;0,000;0,375;0,310;49,990;85,800
2,970;1,101;0,000;1,100;0,000;0,375;0,310;49,990;85,800
2,980;1,100;0,000;1,100;0,000;0,375;0,309;49,990;85,900
2,990;1,101;0,000;1,100;0,000;0,375;0,308;49,990;85,700
3,000;1,099;0,000;1,100;0,000;0,374;0,308;49,990;85,700
3,010;1,100;0,000;1,100;0,000;0,375;0,310;49,990;85,600
3,020;1,100;0,000;1,100;0,000;0,375;0,310;49,990;85,800
3,030;1,101;0,000;1,100;0,000;0,375;0,311;49,990;85,800
3,040;1,100;0,000;1,100;0,000;0,375;0,310;49,990;85,900
3,050;1,100;0,000;1,100;0,000;0,375;0,309;49,990;85,700
3,060;1,099;0,000;1,100;0,000;0,374;0,308;49,990;85,700
3,070;1,100;0,000;1,100;0,000;0,375;0,310;49,990;85,600
3,080;1,099;0,000;1,100;0,000;0,374;0,311;49,990;85,800
3,090;1,100;0,000;1,100;0,000;0,375;0,312;49,990;85,800
3,100;1,099;0,000;1,100;0,000;0,374;0,312;49,990;86,000
3,110;1,100;0,000;1,100;0,000;0,375;0,314;49,990;86,000
3,120;1,099;0,000;1,100;0,000;0,374;0,314;49,990;86,200
3,130;1,100;0,000;1,100;0,000;0,375;0,315;49,990;84,600
3,140;1,099;0,000;1,100;0,000;0,375;0,316;49,990;86,300
3,150;1,101;0,000;1,100;0,000;0,375;0,316;49,990;86,300
3,160;1,100;0,000;1,100;0,000;0,375;0,315;49,990;86,300
3,170;1,100;0,000;1,100;0,000;0,375;0,314;49,990;86,200
3,180;1,100;0,000;1,100;0,000;0,375;0,313;49,990;86,100
3,190;1,100;0,000;1,100;0,000;0,375;0,312;49,990;86,000
3,200;1,100;0,000;1,100;0,000;0,375;0,311;49,990;85,900
3,210;1,101;0,000;1,100;0,000;0,375;0,311;49,990;85,800
3,220;1,100;0,000;1,100;0,000;0,375;0,311;49,990;85,800
3,230;1,101;0,000;1,100;0,000;0,375;0,310;49,990;85,800
3,240;1,100;0,000;1,100;0,000;0,375;0,310;49,990;85,800
3,250;1,100;0,000;1,100;0,000;0,375;0,309;49,990;85,600
3,260;1,100;0,000;1,100;0,000;0,375;0,309;49,990;85,600
3,270;1,101;0,000;1,100;0,000;0,375;0,309;49,990;85,600
3,280;1,100;0,000;1,100;0,000;0,375;0,308;49,990;85,600
3,290;1,101;0,000;1,100;0,000;0,375;0,307;49,990;85,500
3,300;1,100;0,000;1,100;0,000;0,375;0,307;49,990;85,500
3,310;1,100;0,000;1,100;0,000;0,375;0,307;49,990;85,400
3,320;1,100;0,000;1,100;0,000;0,375;0,307;49,990;85,400
3,330;1,100;0,000;1,100;0,000;0,375;0,307;49,990;85,400
3,340;1,100;0,000;1,100;0,000;0,375;0,309;49,990;85,500
3,350;1,100;0,000;1,100;0,000;0,375;0,309;49,990;85,600
3,360;1,100;0,000;1,100;0,000;0,375;0,309;49,990;85,600
3,370;1,100;0,000;1,100;0,000;0,375;0,310;49,990;85,700
3,380;1,100;0,000;1,100;0,000;0,375;0,310;49,990;85,700
3,390;1,100;0,000;1,100;0,000;0,375;0,310;49,990;85,800
3,400;1,099;0,000;1,100;0,000;0,374;0,311;49,990;85,800
3,410;1,100;0,000;1,100;0,000;0,375;0,311;49,990;85,800
3,420;1,099;0,000;1,100;0,000;0,374;0,313;49,990;86,000
3,430;1,100;0,000;1,100;0,000;0,375;0,313;49,990;86,000
3,440;1,099;0,000;1,100;0,000;0,374;0,314;49,990;86,100
3,450;1,100;0,000;1,100;0,000;0,375;0,315;49,990;86,200
3,460;1,099;0,000;1,100;0,000;0,374;0,315;49,990;86,300
3,470;1,100;0,000;1,100;0,000;0,375;0,315;49,990;86,200
3,480;1,100;0,000;1,100;0,000;0,375;0,316;49,990;86,300
3,490;1,101;0,000;1,100;0,000;0,375;0,315;49,990;86,300
3,500;1,099;0,000;1,100;0,000;0,374;0,313;49,990;86,200
3,510;1,101;0,000;1,100;0,000;0,375;0,313;49,990;85,900
3,520;1,100;0,000;1,100;0,000;0,375;0,311;49,990;86,000
3,530;1,101;0,000;1,100;0,000;0,375;0,311;49,990;85,800
3,540;1,100;0,000;1,100;0,000;0,375;0,310;49,990;87,400
3,550;1,100;0,000;1,100;0,000;0,375;0,309;49,990;85,600
3,560;1,099;0,000;1,100;0,000;0,374;0,309;49,990;85,600
3,570;1,101;0,000;1,100;0,000;0,375;0,310;49,990;85,600
3,580;1,100;0,000;1,100;0,000;0,375;0,310;49,990;87,400
3,590;1,101;0,000;1,100;0,000;0,375;0,309;49,990;85,600
3,600;1,100;0,000;1,100;0,000;0,375;0,309;49,990;85,600
3,610;1,100;0,000;1,100;0,000;0,375;0,309;49,990;85,600
3,620;1,100;0,000;1,100;0,000;0,375;0,309;49,990;85,600
3,630;1,101;0,000;1,100;0,000;0,375;0,309;49,990;85,600
3,640;1,100;0,000;1,100;0,000;0,375;0,309;49,990;85,600
3,650;1,100;0,000;1,100;0,000;0,375;0,309;49,990;85,600
3,660;1,100;0,000;1,100;0,000;0,375;0,308;49,990;85,500
3,670;1,100;0,000;1,100;0,000;0,375;0,309;49,990;85,600
3,680;1,099;0,000;1,100;0,000;0,374;0,309;49,990;85,600
3,690;1,100;0,000;1,100;0,000;0,375;0,310;49,990;85,600
3,700;1,099;0,000;1,100;0,000;0,374;0,312;49,990;85,800
3,710;1,100;0,000;1,100;0,000;0,375;0,313;49,990;85,800
3,720;1,099;0,000;1,100;0,000;0,374;0,313;49,990;86,000
3,730;1,100;0,000;1,100;0,000;0,375;0,315;49,990;86,100
3,740;1,099;0,000;1,100;0,000;0,374;0,315;49,990;86,200
3,750;1,100;0,000;1,100;0,000;0,375;0,316;49,990;86,200
3,760;1,100;0,000;1,100;0,000;0,375;0,316;49,990;86,300
